App_ID,Sentence,Predicted Labels,Probabilities
1,"Breathing is one of the simplest ways to reduce tension and relieve stress. With Fit, checking in with your breath is easy—all you need is your phone camera. As well as your respiratory rate, you can measure your heart rate to get a better understanding of your body’s wellbeing.",['CAMERA'],"[0.0009282830869778991, 0.00010636910883476958, 0.0004890793352387846, 0.992608368396759, 0.001528656342998147, 0.00013683266297448426, 3.369616388226859e-05, 3.363747600815259e-05, 8.306338713737205e-05, 0.0006844354793429375, 0.0003549186803866178]"
3,√ Sync data with Google Fit,['CONTACTS'],"[0.0001973876205738634, 0.976675271987915, 6.962268525967374e-05, 5.1241422625025734e-05, 0.00011945553706027567, 4.618527600541711e-05, 1.8941038433695212e-05, 0.00010119195940205827, 5.577594129135832e-05, 6.564160867128521e-05, 4.094530959264375e-05]"
3,"More features coming soon, such as sync data with Fitbit, Samsung Health, MyFitnessPal...",['CONTACTS'],"[0.00017578077677171677, 0.9818026423454285, 0.0005254395655356348, 7.01101089362055e-05, 8.737767348065972e-05, 9.155499719781801e-05, 2.6755218641483225e-05, 5.3870091505814344e-05, 5.1123111916240305e-05, 5.415962732513435e-05, 4.665174856199883e-05]"
4,- Phone : Used to confirm your phone number for Together.,['CONTACTS'],"[4.690834612119943e-05, 0.8539159297943115, 0.00013096297334413975, 0.00018220391939394176, 0.00018293959146831185, 0.00033384226844646037, 0.0019509140402078629, 6.0574180679395795e-05, 2.3455182599718682e-05, 5.833563773194328e-05, 5.087716272100806e-05]"
4,"- Location : Used to collect your location data using the trackers(exercises & steps), Used to display a route map for exercise, and to display the weather during exercise",['LOCATION'],"[0.0006951814284548163, 0.0004172588814981282, 0.9987605810165405, 0.00026164992596022785, 0.00021757946524303406, 0.00022195135534275323, 0.0001228983310284093, 0.00012848118785768747, 0.00024637210299260914, 0.0003388396871741861, 0.00021052164083812386]"
4,"- Storage : You can import/export your exercise data, save exercise photos, save/load food photos",['STORAGE'],"[0.9985023736953735, 0.00034773611696437, 0.0009186508250422776, 0.000813137274235487, 0.0003934488049708307, 0.000755425076931715, 0.0002595526457298547, 0.0002882566477637738, 0.0004828934615943581, 0.0006358872051350772, 0.0018979477463290095]"
4,"- Contacts : Used to check if you are logged into your Samsung account, and to create a friend list for Together",['CONTACTS'],"[0.0003073457919526845, 0.9988466501235962, 0.00023399523342959583, 0.00014652192476205528, 0.0001371281105093658, 0.00042547128396108747, 8.106869790935889e-05, 0.00010565037518972531, 0.00012764180428348482, 0.00023304652131628245, 0.00016886225785128772]"
4,"- Camera : Used to scan QR codes when you add friends using the Together, and to take photos of foods, and to recognize numbers on a blood glucose meter&blood pressure monitor(Available in some countries only)",['CAMERA'],"[0.0005706351366825402, 0.003047717735171318, 0.000439979019574821, 0.9992917776107788, 0.0006433507660403848, 0.0003336208174005151, 0.0002013947523664683, 0.0003174325102008879, 0.00028444797499105334, 0.0005383187672123313, 0.0002759265771601349]"
4,- Microphone : Used to record audio for snore detection,['MICROPHONE'],"[0.0011420632945373654, 0.00041984114795923233, 0.00015942048048600554, 0.00043838750571012497, 0.9981143474578857, 0.0002307182439835742, 0.00010818431474035606, 0.000148501931107603, 0.00011121730494778603, 0.00026722511393018067, 0.00015351554611697793]"
4,"- Nearby devices : Used to scan for and connect to nearby devices, including Galaxy Watches and other accessories","['LOCATION', 'CAMERA']","[0.00030646155937574804, 0.00031779619166627526, 0.937228262424469, 0.8944599032402039, 0.0013531696749851108, 0.000753615633584559, 0.000125669248518534, 0.0002262047928525135, 0.0006930447998456657, 0.00013057031901553273, 0.00025796215049922466]"
5,- Sync workout and calorie data on Google Fit,['CONTACTS'],"[0.0005404762923717499, 0.9973247051239014, 0.0002055128279607743, 0.00011825430556200445, 0.00018413906218484044, 6.320635293377563e-05, 6.854139792267233e-05, 0.0001304591860389337, 0.00018542684847489, 0.00010319664579583332, 0.00013089018466416746]"
6,- Sync workout and calorie data on Google Fit,['CONTACTS'],"[0.0005404762923717499, 0.9973247051239014, 0.0002055128279607743, 0.00011825430556200445, 0.00018413906218484044, 6.320635293377563e-05, 6.854139792267233e-05, 0.0001304591860389337, 0.00018542684847489, 0.00010319664579583332, 0.00013089018466416746]"
6,- Sync data with Google Fit,['CONTACTS'],"[0.0011589349014684558, 0.9979678988456726, 0.00019189841987099499, 0.00020033353939652443, 0.0001588647864991799, 7.412118429783732e-05, 7.70689730416052e-05, 0.0001563567202538252, 0.00022273256035987288, 0.00014939557877369225, 9.469205542700365e-05]"
6,"More features coming soon, such as sync data with Fitbit, Samsung Health, MyFitnessPal...",['CONTACTS'],"[0.00017578077677171677, 0.9818026423454285, 0.0005254395655356348, 7.01101089362055e-05, 8.737767348065972e-05, 9.155499719781801e-05, 2.6755218641483225e-05, 5.3870091505814344e-05, 5.1123111916240305e-05, 5.415962732513435e-05, 4.665174856199883e-05]"
7,Bar Code & Meal Scan: Log store-bought foods and entire meals using your phone’s camera,['CAMERA'],"[0.003432992147281766, 0.00038070842856541276, 0.0006289269658736885, 0.9993891716003418, 0.001296021044254303, 0.00020300515461713076, 0.00016309617785736918, 0.00015845707093831152, 0.00020072952611371875, 0.0008218567236326635, 0.00043250570888631046]"
7,Add Your Own Foods/Meal Tracker – Save recipes and meals for quick logging,['STORAGE'],"[0.9759591221809387, 0.00018529656517785043, 0.00018419913249090314, 0.00010650196782080457, 6.580600165762007e-05, 8.488880121149123e-05, 9.950631647370756e-05, 6.787243910366669e-05, 5.54339203517884e-05, 0.00018224545056000352, 0.00030300114303827286]"
7,"Connect 50+ Apps & Devices – From fitness tracker and smartwatch apps, including the Health app",['CONTACTS'],"[4.626418012776412e-05, 0.6495411992073059, 0.00041978294029831886, 2.2950847778702155e-05, 2.8391676096362062e-05, 8.867157157510519e-05, 1.1588672350626439e-05, 6.197639595484361e-05, 3.262274549342692e-05, 1.5581861589453183e-05, 5.435718048829585e-05]"
7,"Payment is charged to your credit card through your iTunes account at confirmation of purchase. Subscription renews automatically unless you turn off auto-renewal in iTunes Account Settings after purchase, or cancel your subscription at least 24 hours prior to the end of the subscription period.",['CONTACTS'],"[0.0013053835136815906, 0.9957588315010071, 0.00011364998499630019, 7.92435384937562e-05, 6.501434108940884e-05, 8.896530198398978e-05, 3.7589350540656596e-05, 8.814609464025125e-05, 0.00011450816236902028, 0.00010185210703639314, 0.00013395669520832598]"
8,• Real-time text messaging with friends or workout partners,['SMS'],"[0.0001366252254229039, 0.024957003071904182, 0.0003300029202364385, 7.197548256954178e-05, 0.000177609603269957, 0.9972484707832336, 8.871293539414182e-05, 0.00012213113950565457, 6.353527714964002e-05, 4.764991899719462e-05, 0.0002693250426091254]"
9,- Records training progress automatically,['STORAGE'],"[0.9491741061210632, 0.00018494743562769145, 0.0005781787913292646, 0.0004037649487145245, 0.4712492525577545, 0.00014798020129092038, 0.0004004434740636498, 6.420078716473654e-05, 0.00012401539424899966, 0.0007609925232827663, 0.0001712294906610623]"
